tm,coor,delay,adv
2001-1-1,108.4,99.84,103.744
2001-2-1,108.4,99.84,103.744
2001-3-1,106.27,99.83,103.275
2001-4-1,104.14,99.56,101.96
2001-5-1,102.09,98.58,101.052
2001-6-1,100.31,97.64,100.4
2001-7-1,98.99,97.62,100.193
2001-8-1,98.58,98.31,100.498
2001-9-1,99.12,98.36,101.5
2001-10-1,100.11,97.85,102.81
2001-11-1,101.2,97.1,104.156
2001-12-1,102.68,96.41,105.361
2002-1-1,104.14,96.4,106.1
2002-2-1,105.4,96.98,106.212
2002-3-1,106.16,97.51,105.666
2002-4-1,106.09,97.78,104.631
2002-5-1,105.38,97.83,103.187
2002-6-1,104.54,97.82,101.491
2002-7-1,103.53,97.68,99.774
2002-8-1,102.42,98.12,98.233
2002-9-1,101.43,98.42,97.018
2002-10-1,100.92,97.64,96.341
2002-11-1,100.51,96.21,96.173
2002-12-1,99.69,95.73,96.402
2003-1-1,98.94,96.26,96.946
2003-2-1,98.6,97.53,97.695
2003-3-1,98.78,98.72,98.578
2003-4-1,99.47,99.05,99.477
2003-5-1,100.28,98.75,100.41
2003-6-1,100.86,98.51,101.283
2003-7-1,101.29,98.39,101.964
2003-8-1,101.45,98.02,102.264
2003-9-1,101.18,98.06,102.091
2003-10-1,100.72,99.05,101.545
2003-11-1,100.39,100.25,100.822
2003-12-1,100.26,100.72,100.129
2004-1-1,99.89,99.87,99.707
2004-2-1,99.11,98.29,99.706
2004-3-1,98.27,97.36,100.074
2004-4-1,97.71,97.68,100.643
2004-5-1,97.74,99.07,101.255
2004-6-1,98.07,100.21,101.781
2004-7-1,98.43,100.35,102.153
2004-8-1,98.78,99.02,102.261
2004-9-1,99.27,97.91,102.073
2004-10-1,99.52,98.25,101.592
2004-11-1,99.59,100.73,100.842
2004-12-1,99.84,103.81,100.027
2005-1-1,100.36,105.34,99.244
2005-2-1,101.08,104.29,98.653
2005-3-1,101.6,101.7,98.354
2005-4-1,101.57,99.37,98.464
2005-5-1,101.01,98.06,98.894
2005-6-1,100.35,97.54,99.532
2005-7-1,99.85,97.75,100.25
2005-8-1,99.45,98.49,100.894
2005-9-1,99.1,99.78,101.37
2005-10-1,98.85,100.35,101.575
2005-11-1,98.61,99.5,101.514
2005-12-1,98.17,97.85,101.255
2006-1-1,97.82,96.83,100.88
2006-2-1,97.57,97.39,100.477
2006-3-1,97.26,98.83,100.213
2006-4-1,97.05,99.49,100.177
2006-5-1,97.04,99,100.449
2006-6-1,97.2,98.49,101.039
2006-7-1,97.49,98.58,101.862
2006-8-1,97.94,99.58,102.807
2006-9-1,98.43,99.94,103.825
2006-10-1,98.85,99.6,104.739
2006-11-1,99.08,98.55,105.428
2006-12-1,99.13,97.02,105.716
2007-1-1,99.17,96.2,105.488
2007-2-1,99.37,96.34,104.767
2007-3-1,99.71,97.38,103.63
2007-4-1,99.9,98.92,102.248
2007-5-1,99.82,99.65,100.755
2007-6-1,99.68,99.55,99.365
2007-7-1,99.64,98.68,98.196
2007-8-1,99.66,98,97.318
2007-9-1,99.32,97.97,96.769
2007-10-1,98.72,98.24,96.502
2007-11-1,98.21,98.82,96.399
2007-12-1,97.84,99.14,96.275
2008-1-1,97.5,99.09,95.926
2008-2-1,97.2,98.63,95.234
2008-3-1,97.09,97.86,94.091
2008-4-1,97.02,97.31,92.525
2008-5-1,96.49,97.18,90.719
2008-6-1,95.21,96.98,88.775
2008-7-1,93.23,96.94,86.805
