time,货运周转量,货运量,工业增加值
2001/01/01,968.2703849,1.113,11.46923275
2001/02/01,970.1265487,1.13,11.29
2001/03/01,972.429208,1.145,10.986
2001/04/01,974.6122676,1.158,10.597
2001/05/01,976.6682106,1.163,10.125
2001/06/01,978.7852757,1.165,9.632
2001/07/01,981.3236269,1.171,9.17
2001/08/01,985.005117,1.182,8.815
2001/09/01,990.2787525,1.195,8.631
2001/10/01,995.961845,1.204,8.611
2001/11/01,1000.892464,1.208,8.722
2001/12/01,1005.128484,1.208,8.986
2002/01/01,1008.509066,1.206,9.407
2002/02/01,1011.400151,1.204,9.983
2002/03/01,1014.294748,1.202,10.685
2002/04/01,1017.295327,1.201,11.403
2002/05/01,1020.634253,1.202,12.026
2002/06/01,1024.977955,1.207,12.548
2002/07/01,1030.122156,1.213,12.996
2002/08/01,1035.446821,1.222,13.416
2002/09/01,1040.252505,1.232,13.846
2002/10/01,1045.470174,1.238,14.341
2002/11/01,1051.153591,1.236,14.865
2002/12/01,1056.8484,1.232,15.251
2003/01/01,1063.826768,1.232,15.402
2003/02/01,1073.040931,1.24,15.363
2003/03/01,1084.5107,1.257,15.287
2003/04/01,1097.702746,1.278,15.321
2003/05/01,1110.938007,1.297,15.516
2003/06/01,1121.631544,1.309,15.867
2003/07/01,1129.667362,1.314,16.337
2003/08/01,1135.652294,1.312,16.845
2003/09/01,1140.741281,1.311,17.28
2003/10/01,1146.311036,1.318,17.597
2003/11/01,1153.614735,1.332,17.84
2003/12/01,1163.047833,1.349,18.103
2004/01/01,1173.494088,1.363,18.313
2004/02/01,1184.049842,1.369,18.311
2004/03/01,1194.278028,1.37,18.035
2004/04/01,1204.633445,1.373,17.548
2004/05/01,1216.720642,1.385,17.009
2004/06/01,1231.189267,1.406,16.514
2004/07/01,1246.457287,1.43,16.111
2004/08/01,1261.012093,1.447,15.829
2004/09/01,1275.522717,1.457,15.663
2004/10/01,1289.236381,1.469,15.509
2004/11/01,1302.743358,1.497,15.284
2004/12/01,1317.076781,1.545,15.022
2005/01/01,1332.314422,1.604,14.847
