time,货运周转量,货运量,工业增加值
200101,968.2703849,1.113,11.46923275
200102,970.1265487,1.13,11.29
200103,972.429208,1.145,10.986
200104,974.6122676,1.158,10.597
200105,976.6682106,1.163,10.125
200106,978.7852757,1.165,9.632
200107,981.3236269,1.171,9.17
200108,985.005117,1.182,8.815
200109,990.2787525,1.195,8.631
200110,995.961845,1.204,8.611
200111,1000.892464,1.208,8.722
200112,1005.128484,1.208,8.986
200201,1008.509066,1.206,9.407
200202,1011.400151,1.204,9.983
200203,1014.294748,1.202,10.685
200204,1017.295327,1.201,11.403
200205,1020.634253,1.202,12.026
200206,1024.977955,1.207,12.548
200207,1030.122156,1.213,12.996
200208,1035.446821,1.222,13.416
200209,1040.252505,1.232,13.846
200210,1045.470174,1.238,14.341
200211,1051.153591,1.236,14.865
200212,1056.8484,1.232,15.251
200301,1063.826768,1.232,15.402
200302,1073.040931,1.24,15.363
200303,1084.5107,1.257,15.287
200304,1097.702746,1.278,15.321
200305,1110.938007,1.297,15.516
200306,1121.631544,1.309,15.867
200307,1129.667362,1.314,16.337
200308,1135.652294,1.312,16.845
200309,1140.741281,1.311,17.28
200310,1146.311036,1.318,17.597
200311,1153.614735,1.332,17.84
200312,1163.047833,1.349,18.103
200401,1173.494088,1.363,18.313
200402,1184.049842,1.369,18.311
200403,1194.278028,1.37,18.035
200404,1204.633445,1.373,17.548
200405,1216.720642,1.385,17.009
200406,1231.189267,1.406,16.514
200407,1246.457287,1.43,16.111
200408,1261.012093,1.447,15.829
200409,1275.522717,1.457,15.663
200410,1289.236381,1.469,15.509
200411,1302.743358,1.497,15.284
200412,1317.076781,1.545,15.022
200501,1332.314422,1.604,14.847
200502,1348.087747,1.657,14.853
200503,1363.377775,1.69,15.026
200504,1375.962252,1.705,15.292
200505,1384.209735,1.712,15.574
200506,1389.761511,1.716,15.822
200507,1395.616547,1.724,16.025
200508,1404.057968,1.738,16.179
200509,1413.449642,1.764,16.362
200510,1422.693127,1.793,16.641
200511,1431.806463,1.813,16.975
200512,1440.361451,1.817,17.237
200601,1448.801653,1.811,17.39
200602,1457.049606,1.81,17.451
200603,1463.971266,1.824,17.417
200604,1470.344478,1.845,17.303
200605,1477.851675,1.861,17.115
200606,1487.54449,1.873,16.863
200607,1499.66939,1.888,16.573
200608,1515.958811,1.913,16.238
200609,1537.525266,1.942,15.797
200610,1562.934695,1.968,15.287
200611,1585.660188,1.984,14.899
200612,1600.961071,1.985,14.763
200701,1608.142997,1.978,14.92
200702,1609.940748,1.97,15.35
200703,1610.440724,1.97,15.974
200704,1611.983748,1.984,16.65
200705,1614.465987,2.004,17.256
200706,1619.030751,2.025,17.721
200707,1627.563749,2.038,18.023
200708,1639.820498,2.046,18.202
200709,1652.883232,2.055,18.265
200710,1665.351481,2.068,18.185
200711,1678.381186,2.088,17.92
200712,1692.272529,2.11,17.511
200801,1705.960444,2.13,17.033
200802,1718.247013,2.143,16.578
200803,1730.163393,2.147,16.213
200804,1743.0144,2.147,15.923
200805,1756.399003,2.148,15.528
200806,1765.820825,2.147,14.857
200807,1764.339303,2.147,13.85
200808,1746.810506,2.143,12.562
200809,1715.331382,2.128,11.168
200810,1676.708148,2.095,9.889
200811,1639.209728,2.05,8.849
200812,1610.668569,2.008,8.124
200901,1595.865911,1.985,7.726
200902,1595.221795,1.987,7.611
200903,1607.088832,2.009,7.733
200904,1627.708454,2.041,8.087
200905,1655.567005,2.081,8.77
200906,1687.564639,2.126,9.826
200907,1721.8386,2.174,11.219
200908,1757.583229,2.214,12.817
200909,1790.998628,2.245,14.357
200910,1816.97245,2.269,15.588
200911,1834.537407,2.294,16.427
200912,1845.989122,2.32,16.957
201001,1854.795953,2.345,17.206
201002,1862.864856,2.362,17.176
201003,1870.465993,2.371,16.916
201004,1877.48092,2.377,16.455
201005,1883.350277,2.388,15.82
201006,1889.345093,2.405,15.073
201007,1896.280752,2.422,14.333
201008,1903.222486,2.438,13.727
201009,1911.705098,2.447,13.415
201010,1924.534912,2.456,13.413
201011,1939.955808,2.469,13.579
201012,1954.418916,2.486,13.727
201101,1966.023307,2.499,13.839
201102,1976.915005,2.505,13.973
201103,1990.184068,2.511,14.103
201104,2008.004307,2.527,14.216
