"tm1","DIx_trans_input","DIt_trans_input","DIz_trans_input"
2001-02-01,0.742,0.3866,0.98
2001-03-01,0.742,0.3866,0.192
2001-04-01,0.529,0.3866,0.881
2001-05-01,0.316,0,0.788
2001-06-01,0.2129,0,0.788
2001-07-01,0,0,0.788
2001-08-01,0.258,0.3866,0.98
2001-09-01,0.258,0.3866,0.192
2001-10-01,0.684,0.7026,0
2001-11-01,0.684,0.2974,0.98
2001-12-01,0.684,0.2974,1
2002-01-01,0.8969,0.2974,0.02
2002-02-01,1,0.2974,1
2002-03-01,0.742,0.2974,0.98
2002-04-01,0.742,0.2974,0.98
2002-05-01,0.742,0.2974,0.788
2002-06-01,0.316,0.2974,0
2002-07-01,0.2129,0.2974,0
2002-08-01,0.4709,0.684,0.98
2002-09-01,0.574,0.684,0.099
2002-10-01,0.574,0.2974,0
2002-11-01,0.574,0.4554,0
2002-12-01,1,0.4554,0
2003-01-01,0.8969,0.6134,0
2003-02-01,0.8969,0.5093,0
2003-03-01,0.8969,0.7026,0
2003-04-01,0.8969,1,0
2003-05-01,1,1,0
2003-06-01,1,1,0.093
2003-07-01,0.742,0.6134,0.093
2003-08-01,0.742,0.2974,0.093
2003-09-01,1,0.2974,0.1425
2003-10-01,0.89355,0.2974,0.192
2003-11-01,1,1,0.192
2003-12-01,1,1,0.099
2004-01-01,1,1,0.099
2004-02-01,0.574,0.6134,0.099
2004-03-01,0.574,0.316,0.093
2004-04-01,0.3611,0.316,0.093
2004-05-01,0.7871,0.7026,0.093
2004-06-01,0.7871,0.7026,0
2004-07-01,1,0.7026,0
2004-08-01,1,0.7026,0
2004-09-01,0.742,0.7026,0
2004-10-01,0.742,0.7026,0
2004-11-01,0.742,0.7026,0
2004-12-01,0.742,0.7026,0.093
2005-01-01,0.742,0.7026,0.881
2005-02-01,0.258,1,0.881
2005-03-01,0.258,1,0.98
2005-04-01,0.258,1,0.586
2005-05-01,0.684,0.6134,0
2005-06-01,0.684,0.2974,0
2005-07-01,0.8969,0.2974,0
2005-08-01,0.8969,1,0
2005-09-01,0.8969,1,0
2005-10-01,0.8969,1,0.0465
2005-11-01,0.8969,1,0.881
2005-12-01,0.8969,0.6134,0.881
2006-01-01,0.8969,0.6134,0.881
2006-02-01,1,0.6134,0.881
2006-03-01,0.6389,0.3866,0.881
2006-04-01,0.6389,0.3866,0.093
2006-05-01,0.6389,0.3866,0
2006-06-01,0.2129,0.316,0
2006-07-01,0.2129,0.7026,0
2006-08-01,0.574,0.7026,0
2006-09-01,1,0.7026,0
2006-10-01,1,0.7026,0
2006-11-01,1,0.7026,0
2006-12-01,0.742,0.316,0
2007-01-01,0.742,0.2974,0
2007-02-01,0.742,0.2974,0
2007-03-01,0.742,0.2974,0.1455
2007-04-01,0.742,0.684,0.192
2007-05-01,1,0.684,0.192
2007-06-01,0.8969,0.684,0.093
2007-07-01,0.8969,0.2974,0.093
2007-08-01,0.8969,0.6134,0.113
2007-09-01,0.684,0.6134,0.113
2007-10-01,0.3611,0.316,0.01
2007-11-01,0.3611,0.7026,0
2007-12-01,0.3611,0.7026,0
2008-01-01,0.3611,0.7026,0
2008-02-01,0.258,0.316,0
2008-03-01,0.258,0.316,0.394
2008-04-01,0.258,0.316,0.788
2008-05-01,0,0.316,0.788
2008-06-01,0,0,0.798
2008-07-01,0,0,0.808
2008-08-01,0,0,0.808
2008-09-01,0,0,0.808
2008-10-01,0,0,0.808
2008-11-01,0,0,0.808
2008-12-01,0.426,0,0.808
2009-01-01,0.684,0,0.8545
2009-02-01,1,0,0.808
2009-03-01,1,1,0.02
2009-04-01,1,1,0.02
2009-05-01,1,1,0.02
2009-06-01,1,1,0.02
2009-07-01,1,1,0.02
2009-08-01,1,1,0.02
2009-09-01,1,1,0.02
2009-10-01,1,1,0.113
2009-11-01,0.4709,1,0.113
2009-12-01,0.4709,1,0.113
2010-01-01,0,0.684,0.113
2010-02-01,0.1031,0.3866,0.113
2010-03-01,0.1031,0,0.212
2010-04-01,0.1031,0,0.212
2010-05-01,0.1031,0,1
2010-06-01,0,0.3866,0.901
2010-07-01,0.3611,0.3866,0.8545
2010-08-01,0.3611,0.3866,0.808
2010-09-01,0.3611,0,0.0665
2010-10-01,0.574,0.6134,0.113
2010-11-01,1,0.6134,0.093
2010-12-01,1,1,0.093
2011-01-01,1,0.6134,0.093
2011-02-01,0.7679,0.6134,0.093
2011-03-01,0.2129,0.6134,0.093
2011-04-01,0.2129,0.6134,0.093
2011-05-01,0.4709,1,0.113
2011-06-01,0.2129,1,0.113
2011-07-01,0,0.7026,0.02
2011-08-01,0,0.316,0.02
2011-09-01,0,0,0.02
2011-10-01,0,0,0.02
2011-11-01,0,0,0.02
2011-12-01,0.1031,0,0.02
2012-01-01,0,0,0.02
2012-02-01,0.426,0,0.02
2012-03-01,0.684,0,0.02
2012-04-01,0.258,0,0.0665
2012-05-01,0,0,0.113
2012-06-01,0,0,0.901
2012-07-01,0.1031,0,0.901
2012-08-01,0.1031,0,0.901
2012-09-01,0.5291,1,0.113
2012-10-01,0.742,1,0.113
2012-11-01,0.742,1,0.113
2012-12-01,0.6389,1,0.113
2013-01-01,0.2129,0.7026,0.113
2013-02-01,0,0.7026,0.02
2013-03-01,0,0.7026,0.02
2013-04-01,0.2129,1,0.808
2013-05-01,0.2129,0.6134,0.808
2013-06-01,0.2129,1,0.113
2013-07-01,0.6389,1,0.113
2013-08-01,0.8969,1,0.113
2013-09-01,0.8969,1,0.113
2013-10-01,0.258,0.3866,0.113
2013-11-01,0.258,0,0.113
2013-12-01,0.258,0,0.02
2014-01-01,0,0,0.093
2014-02-01,0.1031,0,0
2014-03-01,0.1031,0.2974,0.98
2014-04-01,0.1031,0.2974,1
2014-05-01,0.1031,0.684,0
2014-06-01,0.1031,0.7026,0.98
2014-07-01,0.1031,0.7026,1
2014-08-01,0.258,0.7026,1
2014-09-01,0.258,0,0.808
2014-10-01,0.258,0,0
2014-11-01,0.258,0,0.02
2014-12-01,0.258,0,1
