tm,freight,iron,coal
2001/1/1,10700,1090.91,6345.39
2001/2/1,10300,1131.3,6797.35
2001/3/1,11800,1322.59,8249.42
2001/4/1,11600,1284.83,7942.23
2001/5/1,12100,1328.43,8062.61
2001/6/1,11700,1360.68,8093.81
2001/7/1,11900,1295.97,7414.16
2001/8/1,12100,1340.55,7809.97
2001/9/1,11800,1316.49,8118.12
2001/10/1,12300,1353.69,8389.34
2001/11/1,11600,1534.05,8806.48
2001/12/1,11800,1385.88,10018.67
2002/1/1,12600,1400.8,8633.16
2002/2/1,11000,1327.14,6848.65
2002/3/1,12300,1602.25,9378.19
2002/4/1,12000,1610.64,9281
2002/5/1,12500,1588.75,9160.91
2002/6/1,12100,1662.49,9362.54
2002/7/1,12400,1567.36,8716.04
2002/8/1,12500,1652.16,9089.87
2002/9/1,12100,1660.38,9350.72
2002/10/1,12600,1654.84,9487.7
2002/11/1,12000,1627.3,10034.95
2002/12/1,12100,1864.23,11463.4
2003/1/1,12200,1647.52,9630.9
2003/2/1,11300,1582.25,8538.57
2003/3/1,13100,1826.05,10687.42
2003/4/1,12600,1871.06,10732.94
2003/5/1,13500,1998.17,10910.97
2003/6/1,13200,1970.6,11443.91
2003/7/1,13400,1980.1,10993.29
2003/8/1,13500,2110.11,10719.05
2003/9/1,12800,2043.24,10560.61
2003/10/1,13300,2158.63,11470.67
2003/11/1,12800,2187.79,12237.64
2003/12/1,13500,2206.06,13596.69
2004/1/1,13800,2118.34,9694.9
2004/2/1,13000,2225.16,11001.55
2004/3/1,14100,2382.96,12812.81
2004/4/1,13600,2218.37,13129.26
2004/5/1,14300,2400.49,12872.29
2004/6/1,14100,2376.4,13540.87
2004/7/1,14600,2456.93,13150.39
2004/8/1,14900,2548.2,13254.94
2004/9/1,14300,2664.98,13405.98
2004/10/1,14900,2759.26,14018.02
2004/11/1,14300,2811.76,14369.75
2004/12/1,14300,2775.85,15269.79
2005/1/1,17300,2611.01,12879.05
2005/2/1,15600,2577.59,11138.29
2005/3/1,17300,3064.88,14002.3
2005/4/1,17000,2949.83,14386.62
2005/5/1,17600,3078.5,14989.05
2005/6/1,17200,3030.08,15859.6
2005/7/1,17700,3055.38,15175.55
2005/8/1,17600,3253.84,15395.94
2005/9/1,17200,3260.83,15764.11
2005/10/1,18300,3309.75,16354.75
2005/11/1,18000,3333.03,17043.1
2005/12/1,18200,3592.3,18002.37
2006/1/1,17400,3246.67,12923
2006/2/1,16600,3182.18,13697.33
2006/3/1,18700,3773.54,16621.76
2006/4/1,18500,3828.31,17411.78
2006/5/1,19200,4029.09,17328.45
2006/6/1,18800,4135.39,17966.69
2006/7/1,19100,3794.37,16842.14
2006/8/1,19500,3906.2,17437.42
2006/9/1,19200,4007.74,18127.51
2006/10/1,20000,4158.08,18654.62
2006/11/1,19400,4431.47,18967.09
