tm,adv.input,coor.input,delay.input,gc,ym,yy,hlfdl,hyzzl,hyl,gyzjz,kyl,kyzzl,gdzctz,yylc
2001/1/1,0,0,0,1226.861,7698.135605,1694.751208,921.1748477,968.2703849,1.113,11.46923275,1.6232,759.1027,4670740,69465.7925
2001/2/1,0,0,0,1245.225,7724.029856,1732.602199,935.3444187,970.1265487,1.13,11.29,1.8043,911.6393,5832110,69562.19772
2001/3/1,0,0,0,1262.034,7755.912642,1769.696623,949.4011614,972.429208,1.145,10.986,1.9931,1052.0786,4581394,69666.94269
2001/4/1,0,0,0,1277.975,7784.331193,1803.317008,962.9486797,974.6122676,1.158,10.597,2.0287,1056.7,5153941,69776.74027
2001/5/1,0,0,0,1291.673,7809.451813,1826.822852,974.3633516,976.6682106,1.163,10.125,1.9197,929.71,5642725,69889.71721
2001/6/1,0,0,0,1301.798,7843.237136,1835.449913,982.4469348,978.7852757,1.165,9.632,1.6407,734.1145,5955716,70002.59074
2001/7/1,0,0,0,1308.913,7903.408048,1827.311422,987.5278705,981.3236269,1.171,9.17,1.5557,702.8254,8211373,70111.94985
2001/8/1,0,0,0,1316.893,8004.24545,1806.976054,991.4773496,985.005117,1.182,8.815,1.7375,896.6249,15436205,70215.95978
2001/9/1,0,0,0,1329.199,8139.587052,1783.895391,996.387531,990.2787525,1.195,8.631,1.905,1073.2327,2002050,70315.83939
2001/10/1,0,0,0,1347.751,8294.866481,1761.560212,1001.615042,995.961845,1.204,8.611,1.5975,801.7596,2002050,70438.13982
2001/11/1,0,0,0,1375.869,8453.089291,1743.642475,1007.654731,1000.892464,1.208,8.722,1.8054,857.5238,2499000,70615.49482
2001/12/1,0,0,0,1412.212,8603.796149,1736.132528,1015.343912,1005.128484,1.208,8.986,1.9843,901.1421,4286000,70850.66202
2002/1/1,0,0,0,1452.953,8736.550576,1741.599794,1025.339458,1008.509066,1.206,9.407,1.9037,848.963,3797100,71108.1334
2002/2/1,0,0,0,1492.673,8843.404937,1759.716721,1038.544107,1011.400151,1.204,9.983,1.9456,961.7292,5867300,71337.50118
2002/3/1,0,0,0,1527.046,8920.095912,1785.418362,1053.650345,1014.294748,1.202,10.685,2.2386,1161.471,6202200,71508.60363
2002/4/1,0,0,0,1554.976,8972.460204,1811.210869,1068.783173,1017.295327,1.201,11.403,2.3515,1188.4893,6896600,71629.7898
2002/5/1,0,0,0,1576.541,9013.566342,1830.852034,1083.007523,1020.634253,1.202,12.026,2.0986,1002.664,8964800,71733.88625
2002/6/1,0,0,0,1592.825,9055.566334,1842.533329,1095.534207,1024.977955,1.207,12.548,1.7919,781.8519,8672600,71842.40095
2002/7/1,0,0,0,1606.119,9114.495525,1850.482568,1107.425401,1030.122156,1.213,12.996,1.7056,756.8986,8015800,71953.21626
2002/8/1,0,0,0,1619.866,9199.177947,1858.9561,1120.104782,1035.446821,1.222,13.416,2.2427,1269.0269,18807800,72064.62013
2002/9/1,0,0,0,1636.52,9322.082494,1872.738777,1135.245861,1040.252505,1.232,13.846,0.830261184,2723.842078,804841.1218,72177.43219
2002/10/1,0,0,0,1656.361,9482.35526,1893.133381,1152.880595,1045.470174,1.238,14.341,0.829397691,2714.77082,800640.238,72286.66624
2002/11/1,0,0,0,1676.497,9663.297771,1916.029117,1171.559295,1051.153591,1.236,14.865,0.828549646,2699.686751,786351.2396,72376.40095
2002/12/1,0,0,0,1698.955,9849.309094,1935.220288,1188.249552,1056.8484,1.232,15.251,0.824053622,2687.896531,763371.2457,72438.16354
2003/1/1,0,0,0,1726.102,10032.29233,1945.578068,1202.150217,1063.826768,1.232,15.402,0.810108266,2689.720188,736204.923,72482.25984
2003/2/1,0,0,0,1757.99,10221.80362,1946.805282,1213.242927,1073.040931,1.24,15.363,0.785368345,2689.647359,711249.4218,72531.86534
2003/3/1,0,0,0,1798.175,10419.38981,1944.51259,1225.030962,1084.5107,1.257,15.287,0.755230144,2660.732823,693557.417,72606.81411
2003/4/1,0,0,0,1844.668,10601.93441,1947.247155,1240.455903,1097.702746,1.278,15.321,0.729987095,2592.623532,685322.392,72709.73886
2003/5/1,0,0,0,1894.573,10751.11235,1960.538848,1258.67564,1110.938007,1.297,15.516,0.718938625,2505.458262,685633.5362,72826.49211
2003/6/1,0,0,0,1944.842,10866.46195,1986.340674,1279.958506,1121.631544,1.309,15.867,0.727784256,2440.009524,690807.867,72941.93743
2003/7/1,0,0,0,1992.127,10958.45296,2021.270434,1301.607105,1129.667362,1.314,16.337,0.754715209,2429.034308,698522.4022,73051.73568
2003/8/1,0,0,0,2035.615,11046.4441,2060.865058,1319.719157,1135.652294,1.312,16.845,0.791148092,2453.615879,709618.1002,73162.27095
2003/9/1,0,0,0,2076.929,11158.48592,2100.247021,1333.721468,1140.741281,1.311,17.28,0.826360117,2494.890133,723067.6507,73275.05653
2003/10/1,0,0,0,2118.629,11314.74656,2134.217567,1344.635508,1146.311036,1.318,17.597,0.851565554,2553.997285,734666.7904,73379.63902
