tm,hyl,hyzzl,kyl,kyzzl
2001/1/1,967.985,1.12,0.822,2390.143
2001/2/1,969.917,1.132,0.834,2418.851
2001/3/1,972.279,1.143,0.846,2459.482
2001/4/1,974.495,1.153,0.857,2515.293
2001/5/1,976.548,1.161,0.864,2578.865
2001/6/1,978.626,1.169,0.862,2625.85
2001/7/1,981.127,1.176,0.852,2641.308
2001/8/1,984.766,1.184,0.835,2636.918
2001/9/1,989.982,1.193,0.816,2624.829
2001/10/1,995.585,1.201,0.806,2604.561
2001/11/1,1000.438,1.206,0.805,2559.42
2001/12/1,1004.63,1.207,0.815,2490.501
2002/1/1,1008.024,1.206,0.83,2426.337
2002/2/1,1010.986,1.204,0.846,2408.246
2002/3/1,1013.986,1.202,0.859,2456.808
2002/4/1,1017.086,1.202,0.866,2551.774
2002/5/1,1020.478,1.204,0.864,2648.743
2002/6/1,1024.808,1.208,0.856,2713.656
2002/7/1,1029.794,1.215,0.844,2736.443
2002/8/1,1034.989,1.223,0.835,2733.245
2002/9/1,1039.85,1.229,0.83,2722.966
2002/10/1,1045.303,1.232,0.829,2713.818
2002/11/1,1051.321,1.234,0.829,2706.298
2002/12/1,1057.319,1.234,0.824,2703.662
2003/1/1,1064.451,1.237,0.81,2711.304
2003/2/1,1073.614,1.245,0.785,2711.127
2003/3/1,1084.854,1.259,0.755,2677.418
2003/4/1,1097.729,1.276,0.73,2604.169
2003/5/1,1110.683,1.293,0.719,2515.378
2003/6/1,1121.22,1.304,0.728,2449.707
2003/7/1,1129.107,1.31,0.755,2433.088
2003/8/1,1135.03,1.313,0.791,2456.006
2003/9/1,1140.18,1.317,0.826,2499.894
2003/10/1,1146.052,1.323,0.852,2563.265
2003/11/1,1153.797,1.334,0.863,2657.32
2003/12/1,1163.636,1.346,0.864,2769.344
2004/1/1,1174.292,1.357,0.864,2866.295
2004/2/1,1184.785,1.365,0.869,2930.023
2004/3/1,1194.711,1.371,0.879,2968.865
2004/4/1,1204.65,1.379,0.893,3005.912
2004/5/1,1216.372,1.391,0.904,3053.863
2004/6/1,1230.631,1.407,0.908,3101.887
2004/7/1,1246.061,1.423,0.902,3132.881
2004/8/1,1260.707,1.438,0.89,3143.189
2004/9/1,1274.8,1.455,0.877,3144.066
2004/10/1,1287.726,1.478,0.87,3133.015
2004/11/1,1300.324,1.51,0.874,3114.4
2004/12/1,1313.97,1.553,0.889,3105.419
2005/1/1,1329.01,1.6,0.911,3123.013
2005/2/1,1345.163,1.645,0.934,3174.429
2005/3/1,1361.286,1.68,0.953,3249.522
2005/4/1,1374.836,1.702,0.966,3325.936
2005/5/1,1383.832,1.713,0.971,3382.738
2005/6/1,1389.668,1.719,0.969,3414.513
2005/7/1,1395.497,1.729,0.965,3430.39
2005/8/1,1403.641,1.747,0.961,3432.056
2005/9/1,1412.624,1.768,0.963,3425.292
2005/10/1,1421.195,1.788,0.969,3426.735
2005/11/1,1429.591,1.803,0.98,3447.668
2005/12/1,1437.659,1.812,0.993,3485.416
2006/1/1,1446.029,1.817,1.009,3526.116
2006/2/1,1454.659,1.822,1.024,3557.912
2006/3/1,1462.311,1.829,1.038,3581.871
2006/4/1,1469.483,1.84,1.049,3607.424
2006/5/1,1477.647,1.856,1.055,3643.805
2006/6/1,1487.594,1.875,1.057,3687.862
2006/7/1,1499.314,1.896,1.056,3720.602
2006/8/1,1514.97,1.918,1.056,3739.794
2006/9/1,1536.294,1.942,1.057,3750.72
2006/10/1,1561.807,1.963,1.06,3753.52
2006/11/1,1584.897,1.976,1.064,3740.789
2006/12/1,1600.66,1.98,1.07,3718.676
2007/1/1,1608.207,1.978,1.075,3706.226
2007/2/1,1610.142,1.976,1.08,3725.212
2007/3/1,1610.574,1.98,1.086,3782.249
2007/4/1,1611.893,1.989,1.097,3862.825
2007/5/1,1614.26,2.003,1.111,3940.853
2007/6/1,1618.806,2.02,1.127,3998.965
2007/7/1,1627.231,2.034,1.143,4037.899
2007/8/1,1638.995,2.046,1.157,4062.431
2007/9/1,1651.139,2.058,1.167,4082.07
2007/10/1,1662.875,2.071,1.173,4086.653
2007/11/1,1675.766,2.089,1.178,4073.093
2007/12/1,1690.165,2.108,1.183,4066.232
2008/1/1,1704.862,2.125,1.188,4095.543
2008/2/1,1718.314,2.139,1.194,4163.75
2008/3/1,1731.025,2.148,1.199,4248.681
2008/4/1,1744.296,2.152,1.203,4321.231
2008/5/1,1757.539,2.153,1.209,4361.646
2008/6/1,1766.698,2.153,1.215,4373.101
2008/7/1,1765.817,2.15,1.221,4378.619
2008/8/1,1749.584,2.139,1.226,4378.536
2008/9/1,1719.514,2.117,1.234,4367.214
2008/10/1,1681.856,2.085,1.24,4361.619
2008/11/1,1644.548,2.05,1.245,4391.546
2008/12/1,1615.46,2.018,1.251,4443.307
2009/1/1,1599.731,1.999,1.258,4480.599
2009/2/1,1598.374,1.998,1.262,4482.836
2009/3/1,1610.064,2.015,1.264,4452.247
2009/4/1,1630.861,2.047,1.263,4413.333
2009/5/1,1658.645,2.088,1.258,4396.752
2009/6/1,1689.971,2.13,1.256,4413.048
2009/7/1,1722.195,2.169,1.257,4439.436
