tm,freight,iron,coal
2001/1/1,1070,1090.91,6345.39
2001/2/1,1030,1131.3,6797.35
2001/3/1,1180,1322.59,8249.42
2001/4/1,1160,1284.83,7942.23
2001/5/1,1210,1328.43,8062.61
2001/6/1,1170,1360.68,8093.81
2001/7/1,1190,1295.97,7414.16
2001/8/1,1210,1340.55,7809.97
2001/9/1,1180,1316.49,8118.12
2001/10/1,1230,1353.69,8389.34
2001/11/1,1160,1534.05,8806.48
2001/12/1,1180,1385.88,10018.67
2002/1/1,1260,1400.8,8633.16
2002/2/1,1100,1327.14,6848.65
2002/3/1,1230,1602.25,9378.19
2002/4/1,1200,1610.64,9281
2002/5/1,1250,1588.75,9160.91
2002/6/1,1210,1662.49,9362.54
2002/7/1,1240,1567.36,8716.04
2002/8/1,1250,1652.16,9089.87
2002/9/1,1210,1660.38,9350.72
2002/10/1,1260,1654.84,9487.7
2002/11/1,1200,1627.3,10034.95
2002/12/1,1210,1864.23,11463.4
2003/1/1,1220,1647.52,9630.9
2003/2/1,1130,1582.25,8538.57
2003/3/1,1310,1826.05,10687.42
2003/4/1,1260,1871.06,10732.94
2003/5/1,1350,1998.17,10910.97
2003/6/1,1320,1970.6,11443.91
2003/7/1,1340,1980.1,10993.29
2003/8/1,1350,2110.11,10719.05
2003/9/1,1280,2043.24,10560.61
2003/10/1,1330,2158.63,11470.67
2003/11/1,1280,2187.79,12237.64
2003/12/1,1350,2206.06,13596.69
2004/1/1,1380,2118.34,9694.9
2004/2/1,1300,2225.16,11001.55
2004/3/1,1410,2382.96,12812.81
2004/4/1,1360,2218.37,13129.26
2004/5/1,1430,2400.49,12872.29
2004/6/1,1410,2376.4,13540.87
2004/7/1,1460,2456.93,13150.39
2004/8/1,1490,2548.2,13254.94
2004/9/1,1430,2664.98,13405.98
2004/10/1,1490,2759.26,14018.02
2004/11/1,1430,2811.76,14369.75
2004/12/1,1430,2775.85,15269.79
2005/1/1,1730,2611.01,12879.05
2005/2/1,1560,2577.59,11138.29
2005/3/1,1730,3064.88,14002.3
2005/4/1,1700,2949.83,14386.62
2005/5/1,1760,3078.5,14989.05
2005/6/1,1720,3030.08,15859.6
2005/7/1,1770,3055.38,15175.55
2005/8/1,1760,3253.84,15395.94
2005/9/1,1720,3260.83,15764.11
2005/10/1,1830,3309.75,16354.75
2005/11/1,1800,3333.03,17043.1
2005/12/1,1820,3592.3,18002.37
2006/1/1,1740,3246.67,12923
2006/2/1,1660,3182.18,13697.33
2006/3/1,1870,3773.54,16621.76
2006/4/1,1850,3828.31,17411.78
2006/5/1,1920,4029.09,17328.45
2006/6/1,1880,4135.39,17966.69
