tm,asset,cw_truck
1990 ,151.43,368636
1991 ,172.58,373802
1992 ,233.97,376913
1993 ,462.21,393756
1994 ,575.76,419578
1995 ,580.72,436414
1996 ,620.29,448280
1997 ,663.93,442501
1998 ,839.69,443546
1999 ,819.48,440211
2000 ,805.27,443902
2001 ,898.25,453620
2002 ,962.73,459017
2003 ,859.92,510327
2004 ,901.38,526894
2005 ,1364.31,548368
2006 ,2088.35,564899
2007 ,2552.4192,577521
2008 ,4140.8543,591793
2009 ,7020.7612,601412
2010 ,8384.6436,628887
2011 ,5897.31097,651175
2012 ,6523.6742,670656
2013 ,6843.6148,721850
