tm,freight,freightcar,olm
2001/6/1,87100,443902,68650
2001/12/1,91500,453620,70057
2002/6/1,92700,453620,70057
2002/12/1,94200,459017,71898
2003/6/1,97200,459017,71898
2003/12/1,101900,510327,73002
2004/6/1,105900,510327,73002
2004/12/1,111900,526894,74238
2005/6/1,130800,526894,74238
2005/12/1,138700,548368,75438
2006/6/1,139600,548368,75438
2006/12/1,148400,564899,77084
2007/6/1,153700,564899,77084
2007/12/1,159400,577521,77966
2008/6/1,137854,577521,77966
2008/12/1,136078,591793,79687
2009/6/1,131627,591793,79687
2009/12/1,144648,601412,85518
2010/6/1,152782,601412,85518
2010/12/1,155428,628887,91179
2011/6/1,162979,628887,91179
2011/12/1,165156,651175,93250
2012/6/1,165146,651175,93479
2012/12/1,157200,670656,97626
2013/6/1,157848,702164,97840
2013/12/1,163543,721850,103145
2014/6/1,152427,721850,104058
2014/12/1,154032,710127,111821
2015/6/1,137695,711048,112303
2015/12/1,133549,711968,120969
