tm,freight,iron,coal,oil,power,inv
2001-1-1,13700,1090.91,6345.39,1626.62,880.22,359300
2001-2-1,13100,1131.3,6797.35,1575.81,1004.31,179650
2001-3-1,15200,1322.59,8249.42,1811.54,887.22,449125
2001-4-1,14700,1284.83,7942.23,1865.12,951.11,538950
2001-5-1,15500,1328.43,8062.61,1902.76,936.63,718600
2001-6-1,14900,1360.68,8093.81,1832.85,946.58,718600
2001-7-1,15200,1295.97,7414.16,1660.34,1060.32,628775
2001-8-1,15400,1340.55,7809.97,1690.96,1009.92,628775
2001-9-1,15100,1316.49,8118.12,1779.3,973.13,808425
2001-10-1,15800,1353.69,8389.34,1850.83,966.23,898250
2001-11-1,14900,1534.05,8806.48,1876.2,1386.32,988075
2001-12-1,15100,1385.88,10018.67,1671.07,765.52,2065975
2002-1-1,16100,1400.8,8633.16,1716.83,1162.64,385092
2002-2-1,14100,1327.14,6848.65,1611.97,805.32,192546
2002-3-1,15700,1602.25,9378.19,1778.64,1092.61,481365
2002-4-1,15300,1610.64,9281,1898.6,1064.14,577638
2002-5-1,16100,1588.75,9160.91,1932.7,1041.02,770184
2002-6-1,15400,1662.49,9362.54,1794.87,1063.28,770184
2002-7-1,15800,1567.36,8716.04,1716.19,1186.68,673911
2002-8-1,15800,1652.16,9089.87,1772.98,1128.77,673911
2002-9-1,15500,1660.38,9350.72,1899.21,1100.27,866457
2002-10-1,16100,1654.84,9487.7,1959.92,1134.83,962730
2002-11-1,15500,1627.3,10034.95,1899.3,1165.55,1059003
2002-12-1,15500,1864.23,11463.4,1983.25,1342.53,2214279
2003-1-1,15600,1647.52,9630.9,1930.93,1190.35,343968
2003-2-1,14400,1582.25,8538.57,1844.85,1094.67,171984
2003-3-1,16800,1826.05,10687.42,1966.35,1269.05,429960
2003-4-1,16100,1871.06,10732.94,1981.26,1223.38,515952
2003-5-1,17300,1998.17,10910.97,1832.44,1188.52,687936
2003-6-1,17000,1970.6,11443.91,1881.43,1242.3,687936
2003-7-1,17100,1980.1,10993.29,2030.12,1378.08,601944
2003-8-1,17200,2110.11,10719.05,2082.39,1395.95,601944
2003-9-1,16500,2043.24,10560.61,2119.18,1275.88,773928
2003-10-1,17100,2158.63,11470.67,2175.39,1300.42,859920
2003-11-1,16500,2187.79,12237.64,2100.04,1396.92,945912
2003-12-1,17500,2206.06,13596.69,2232.28,1465.74,1977816
2004-1-1,17600,2118.34,9694.9,2252.48,1289.97,360552
2004-2-1,16400,2225.16,11001.55,2202.86,1407.63,180276
2004-3-1,18300,2382.96,12812.81,2230.5,1500.94,450690
2004-4-1,17300,2218.37,13129.26,2206.98,1412.76,540828
2004-5-1,18400,2400.49,12872.29,2309.34,1380.66,721104
2004-6-1,17900,2376.4,13540.87,2250.53,1368.82,721104
2004-7-1,18600,2456.93,13150.39,2291.8,1584.49,630966
2004-8-1,19000,2548.2,13254.94,2348.27,1533.15,630966
2004-9-1,18400,2664.98,13405.98,2251.22,1443.97,811242
2004-10-1,19100,2759.26,14018.02,2316.95,1506.63,901380
